tag,timestamp,lat,lon
1,2023-05-13 03:00:00,41.785707,-111.832863
1,2023-05-13 08:00:00,41.784932,-111.833281
1,2023-05-13 14:00:00,41.785411,-111.833388
1,2023-05-13 19:00:00,41.786132,-111.833788
1,2023-05-14 03:00:00,41.785084,-111.833379
1,2023-05-14 06:00:00,41.785999,-111.834283
1,2023-05-14 14:00:00,41.784955,-111.834437
1,2023-05-14 18:00:00,41.785925,-111.835421
1,2023-05-15 01:00:00,41.786973,-111.835185
1,2023-05-15 06:00:00,41.787096,-111.835161
2,2023-06-03 01:00:00,41.797563,-111.818398
2,2023-06-03 08:00:00,41.797054,-111.819212
2,2023-06-03 12:00:00,41.7966,-111.819761
2,2023-06-03 20:00:00,41.797435,-111.820431
2,2023-06-04 00:00:00,41.796613,-111.819552
2,2023-06-04 06:00:00,41.79595,-111.818835
2,2023-06-04 14:00:00,41.795832,-111.819672
2,2023-06-04 19:00:00,41.794987,-111.819906
2,2023-06-05 01:00:00,41.794381,-111.821078
2,2023-06-05 06:00:00,41.794644,-111.819692
2,2023-06-05 14:00:00,41.794988,-111.818959
2,2023-06-05 18:00:00,41.794523,-111.819916
2,2023-06-06 01:00:00,41.793651,-111.819414
2,2023-06-06 09:00:00,41.792527,-111.818205
2,2023-06-06 15:00:00,41.79143,-111.818144
2,2023-06-06 19:00:00,41.790965,-111.818012
3,2023-06-04 03:00:00,41.786261,-111.833031
3,2023-06-04 07:00:00,41.786541,-111.832764
3,2023-06-04 12:00:00,41.787257,-111.832023
3,2023-06-04 21:00:00,41.786922,-111.832056
3,2023-06-05 00:00:00,41.786905,-111.832313
3,2023-06-05 06:00:00,41.787199,-111.832486
3,2023-06-05 13:00:00,41.788326,-111.833477
3,2023-06-05 18:00:00,41.788806,-111.832151
3,2023-06-06 03:00:00,41.788677,-111.831957
3,2023-06-06 08:00:00,41.789331,-111.83165
3,2023-06-06 14:00:00,41.790015,-111.831427
3,2023-06-06 21:00:00,41.789785,-111.832155
3,2023-06-07 01:00:00,41.789001,-111.831864
3,2023-06-07 07:00:00,41.788965,-111.832357
4,2023-05-31 01:00:00,41.798965,-111.817131
4,2023-05-31 08:00:00,41.799209,-111.817181
4,2023-05-31 14:00:00,41.7987,-111.817593
4,2023-05-31 21:00:00,41.79901,-111.818303
4,2023-06-01 02:00:00,41.797981,-111.818357
4,2023-06-01 08:00:00,41.7977,-111.817515
4,2023-06-01 15:00:00,41.798172,-111.817433
4,2023-06-01 20:00:00,41.798806,-111.816268
4,2023-06-02 03:00:00,41.798098,-111.815527
4,2023-06-02 07:00:00,41.79872,-111.814788
4,2023-06-02 14:00:00,41.79827,-111.815619
4,2023-06-02 20:00:00,41.798724,-111.814956
4,2023-06-03 03:00:00,41.799929,-111.814223
4,2023-06-03 09:00:00,41.799354,-111.8141
4,2023-06-03 13:00:00,41.798669,-111.815167
4,2023-06-03 20:00:00,41.797889,-111.815601
4,2023-06-04 01:00:00,41.798686,-111.815984
4,2023-06-04 09:00:00,41.798949,-111.815813
4,2023-06-04 15:00:00,41.797994,-111.816861
5,2023-05-13 02:00:00,41.786779,-111.833469
5,2023-05-13 09:00:00,41.786285,-111.833807
5,2023-05-13 15:00:00,41.78553,-111.834757
5,2023-05-13 18:00:00,41.785846,-111.835418
5,2023-05-14 02:00:00,41.784668,-111.835082
5,2023-05-14 08:00:00,41.784194,-111.836366
5,2023-05-14 14:00:00,41.784477,-111.837163
5,2023-05-14 20:00:00,41.785129,-111.837257
5,2023-05-15 00:00:00,41.785608,-111.836435
5,2023-05-15 09:00:00,41.785681,-111.837048
5,2023-05-15 12:00:00,41.785987,-111.836078
5,2023-05-15 19:00:00,41.784851,-111.835379
5,2023-05-16 01:00:00,41.785618,-111.836125
5,2023-05-16 09:00:00,41.784856,-111.835715
5,2023-05-16 14:00:00,41.78563,-111.835011
5,2023-05-16 21:00:00,41.786005,-111.833981
5,2023-05-17 00:00:00,41.78658,-111.834033
5,2023-05-17 09:00:00,41.785915,-111.833573
6,2023-05-28 00:00:00,41.799,-111.817138
6,2023-05-28 08:00:00,41.798603,-111.817671
6,2023-05-28 14:00:00,41.798452,-111.817216
6,2023-05-28 21:00:00,41.798965,-111.817347
6,2023-05-29 02:00:00,41.800107,-111.818572
6,2023-05-29 08:00:00,41.800713,-111.817454
6,2023-05-29 13:00:00,41.799837,-111.816594
6,2023-05-29 20:00:00,41.800082,-111.816614
6,2023-05-30 03:00:00,41.801031,-111.815867
6,2023-05-30 07:00:00,41.799884,-111.815473
6,2023-05-30 12:00:00,41.79911,-111.815156
6,2023-05-30 18:00:00,41.799325,-111.81419
6,2023-05-31 03:00:00,41.798987,-111.814065
6,2023-05-31 08:00:00,41.799466,-111.813907
6,2023-05-31 14:00:00,41.798734,-111.813018
6,2023-05-31 18:00:00,41.798247,-111.8134
6,2023-06-01 01:00:00,41.79927,-111.813287
6,2023-06-01 09:00:00,41.79947,-111.81231
6,2023-06-01 15:00:00,41.800073,-111.812419
7,2023-05-28 02:00:00,41.810157,-111.799996
7,2023-05-28 09:00:00,41.809926,-111.799755
7,2023-05-28 12:00:00,41.810081,-111.799557
7,2023-05-28 20:00:00,41.80921,-111.799972
7,2023-05-29 02:00:00,41.810322,-111.800507
7,2023-05-29 08:00:00,41.809416,-111.800974
7,2023-05-29 15:00:00,41.810025,-111.800253
7,2023-05-29 20:00:00,41.809344,-111.800788
7,2023-05-30 01:00:00,41.80921,-111.8
7,2023-05-30 09:00:00,41.809915,-111.799532
7,2023-05-30 13:00:00,41.809643,-111.799662
7,2023-05-30 19:00:00,41.810485,-111.799165
7,2023-05-31 01:00:00,41.811054,-111.799485
7,2023-05-31 08:00:00,41.810823,-111.799724
7,2023-05-31 12:00:00,41.810768,-111.799959
7,2023-05-31 20:00:00,41.810613,-111.79903
7,2023-06-01 02:00:00,41.810885,-111.799212
7,2023-06-01 08:00:00,41.811114,-111.799927
7,2023-06-01 13:00:00,41.810964,-111.800884
7,2023-06-01 19:00:00,41.811316,-111.801225
8,2023-05-28 03:00:00,41.810137,-111.798947
8,2023-05-28 07:00:00,41.810903,-111.797615
8,2023-05-28 13:00:00,41.809844,-111.798925
8,2023-05-28 20:00:00,41.80933,-111.799672
8,2023-05-29 00:00:00,41.80985,-111.799822
8,2023-05-29 08:00:00,41.809623,-111.799288
8,2023-05-29 15:00:00,41.80983,-111.799958
8,2023-05-29 21:00:00,41.808891,-111.800933
8,2023-05-30 00:00:00,41.808699,-111.801332
8,2023-05-30 06:00:00,41.808692,-111.801068
8,2023-05-30 12:00:00,41.808565,-111.80072
8,2023-05-30 21:00:00,41.808594,-111.801466
8,2023-05-31 01:00:00,41.809013,-111.80123
8,2023-05-31 08:00:00,41.80933,-111.800686
8,2023-05-31 12:00:00,41.808942,-111.80029
8,2023-05-31 20:00:00,41.809521,-111.799463
8,2023-06-01 01:00:00,41.80851,-111.799157
8,2023-06-01 08:00:00,41.807908,-111.800625
8,2023-06-01 15:00:00,41.80746,-111.801077
8,2023-06-01 18:00:00,41.808236,-111.800636
9,2023-06-14 01:00:00,41.798864,-111.817289
9,2023-06-14 09:00:00,41.79958,-111.818478
9,2023-06-14 13:00:00,41.799667,-111.818902
9,2023-06-14 20:00:00,41.800698,-111.819869
9,2023-06-15 03:00:00,41.800511,-111.819652
9,2023-06-15 09:00:00,41.801087,-111.8197
9,2023-06-15 12:00:00,41.801635,-111.818532
9,2023-06-15 21:00:00,41.802286,-111.818494
9,2023-06-16 02:00:00,41.802928,-111.817561
9,2023-06-16 07:00:00,41.802898,-111.817757
9,2023-06-16 12:00:00,41.802312,-111.817986
10,2023-06-06 02:00:00,41.786809,-111.832664
10,2023-06-06 07:00:00,41.786787,-111.832507
10,2023-06-06 12:00:00,41.785729,-111.831446
10,2023-06-06 21:00:00,41.786459,-111.832433
10,2023-06-07 02:00:00,41.785651,-111.83289
10,2023-06-07 07:00:00,41.784766,-111.833191
10,2023-06-07 15:00:00,41.784615,-111.833614
10,2023-06-07 18:00:00,41.784453,-111.834439
10,2023-06-08 02:00:00,41.785297,-111.834536
10,2023-06-08 08:00:00,41.784764,-111.835429
10,2023-06-08 15:00:00,41.785335,-111.835916
10,2023-06-08 19:00:00,41.784448,-111.835785
10,2023-06-09 02:00:00,41.784571,-111.837089
